"Hurghada:",,"compound",,,,,,,,,,,,,,,
"GoogleMapsURL","Name","Phone","Rating","ReviewsCount","Website","Address","VisibleCategory","Category"
"https://www.google.com/maps/place/Compound+Dow+Heights+Hurghada/data=!4m7!3m6!1s0x14528721dde5dc57:0xaf0f166dcc744bcb!8m2!3d27.196136!4d33.837006!16s%2Fg%2F11btrrhc0h!19sChIJV9zl3SGHUhQRy0t0zG0WD68?authuser=0&hl=en&rclk=1","Compound Dow Heights Hurghada","0224156317","106","4.1","N/A"," 5RWP+FR2, Hurghada 1, Red Sea Governorate 1963402 ","Housing development","compound"
"https://www.google.com/maps/place/Blue+Stars+Compound/data=!4m7!3m6!1s0x1452879375e61f01:0x51ccad4d51abd49b!8m2!3d27.2224259!4d33.82092!16s%2Fg%2F11f_lv_1q_!19sChIJAR_mdZOHUhQRm9SrUU2tzFE?authuser=0&hl=en&rclk=1","Blue Stars Compound","01094666430","56","3.8","N/A"," 6RCC+X9F، طريق الحجاز، قسم، الغردقة،, Hurghada 1, Red Sea Governorate ","Business center","compound"
"https://www.google.com/maps/place/Dreem+City+Compound/data=!4m7!3m6!1s0x145287b240111b89:0xe39d204e03969221!8m2!3d27.2196761!4d33.819492!16s%2Fg%2F11lrpn63zq!19sChIJiRsRQLKHUhQRIZKWA04gneM?authuser=0&hl=en&rclk=1","Dreem City Compound","N/A","13","4.1","N/A"," 6R99+VQH, Hurghada 1, Red Sea Governorate 1952210 ","Condominium complex","compound"
"https://www.google.com/maps/place/Al+Makramia+Compound/data=!4m7!3m6!1s0x145287190ff49607:0x267cc2c75e7b2540!8m2!3d27.1923659!4d33.8330397!16s%2Fg%2F11lrknzlm4!19sChIJB5b0DxmHUhQRQCV7XsfCfCY?authuser=0&hl=en&rclk=1","Al Makramia Compound","380502118676","13","4.2","N/A"," 5RRM+W6V, Touristic Villages, Hurghada 1, Red Sea Governorate 1963112 ","Apartment building","compound"
"https://www.google.com/maps/place/CLEOPATRA+COMPOUND/data=!4m7!3m6!1s0x1452870a7df80be7:0xc2422c4f6be56a7b!8m2!3d27.2271573!4d33.8156206!16s%2Fg%2F11pzfs45zb!19sChIJ5wv4fQqHUhQRe2rla08sQsI?authuser=0&hl=en&rclk=1","CLEOPATRA COMPOUND","N/A","2","5.0","N/A"," 6RG8+V69, Hurghada 1, Red Sea Governorate 1952312 ","Apartment complex","compound"
"https://www.google.com/maps/place/Stanly+Compound/data=!4m7!3m6!1s0x145287da5ea5cad5:0x876497a577c25805!8m2!3d27.1970659!4d33.8414117!16s%2Fg%2F11p4qk8mzm!19sChIJ1cqlXtqHUhQRBVjCd6WXZIc?authuser=0&hl=en&rclk=1","Stanly Compound","01151066776","32","4.6","N/A"," Unnamed Road, Hurghada, Red Sea Governorate ","Holiday apartment rental","compound"
"https://www.google.com/maps/place/Lotus+Compound/data=!4m7!3m6!1s0x14528719f31b146d:0x73b647d1268c60d6!8m2!3d27.2003616!4d33.8244387!16s%2Fg%2F11rggqfyw1!19sChIJbRQb8xmHUhQR1mCMJtFHtnM?authuser=0&hl=en&rclk=1","Lotus Compound","N/A","4","5.0","N/A"," 6R2F+4QW, Hurghada 1, Red Sea Governorate 1964001 ","Apartment building","compound"
"https://www.google.com/maps/place/Eagle+Compound/data=!4m7!3m6!1s0x14528700709e3e17:0xcb391f888428dfd3!8m2!3d27.1967975!4d33.8238114!16s%2Fg%2F11x77wwp3r!19sChIJFz6ecACHUhQR098ohIgfOcs?authuser=0&hl=en&rclk=1","Eagle Compound","01223866130","2","5.0","N/A"," 5RWF+PG7, Touristic Villages, Hurghada 1, Red Sea Governorate 1962737 ","Apartment building","compound"
"https://www.google.com/maps/place/Paradise+Compound/data=!4m7!3m6!1s0x1452863493b3125f:0x3addf33291a6e3fe!8m2!3d27.2404375!4d33.8429375!16s%2Fg%2F11b_2s060_!19sChIJXxKzkzSGUhQR_uOmkTLz3To?authuser=0&hl=en&rclk=1","Paradise Compound","01273702996","27","4.5","N/A"," 6RRV+559 Talateen, شارع التلاتيني, Red Sea Governorate ","Property management company","compound"
"https://www.google.com/maps/place/La+Rose+Compound/data=!4m7!3m6!1s0x14528712ce3c9935:0x708e6a5b4529a60e!8m2!3d27.1881226!4d33.8220481!16s%2Fg%2F11t3gdn2bb!19sChIJNZk8zhKHUhQRDqYpRVtqjnA?authuser=0&hl=en&rclk=1","La Rose Compound","N/A","9","4.2","N/A"," 5RQC+6RV, Touristic Villages, Hurghada 1, Red Sea Governorate 1962711 ","Housing complex","compound"
